Name,Location,Fees ,Majors_Offered,Hostel_Facilities,Mess_Facilities,Transport_Details,Management,Percentage,Interview 
Bennett University,Greater Noida,300000,"CSE, AI, ML","Hostel available, affordable, 4 years",Veg & Non-veg meals,"Bus available campus-city, 5-15km",Yes,90%,No
NMIMS MPSTME,Mumbai,290000,"CSE, ECE, AI","Hostel available, high cost, 4 years",Veg & Non-veg food,Bus covers city and suburbs,Yes,70%,No
Amity University,Noida,280000,"CSE, Cybersecurity, ECE","Hostel available, moderate cost, 4 years",Veg & Non-veg meals,"Bus service campus-city, 5-20km",Yes,55%,No
Reva University,Bangalore,250000,"CSE, AI, DS","Hostel available, affordable, 4 years",Veg & Non-veg food,"Bus covers city, 4-15km",Yes,80%,Yes
Christ University,Bangalore,270000,"CSE, AI, IT","Hostel available, moderate cost, 4 years",Veg & Non-veg meals,"Bus covers city routes, 4-18km",No,90%,Yes
Jain University,Bangalore,260000,"CSE, AI, ECE","Hostel available, affordable, 4 years",Veg & Non-veg food,"Bus available city-wide, 3-20km",No,50%,Yes
Symbiosis Institute of Tech,Pune,240000,"CSE, AI, IT","Hostel available, moderate cost, 4 years",Veg & Non-veg meals,"Bus available city, 5-20km",Yes,85%,Yes
SRMIST Kattankulathur,Chennai,250000,"CSE, ECE, ME, CE","Hostel available, affordable, 4 years",Veg & Non-veg meals,"Bus covers Chennai, 3-20km",No,75%,No
Manipal Institute of Tech,Manipal,350000,"CSE, ECE, ME, CE","Hostel available, high cost, 4 years",Veg & Non-veg food,"Bus available city routes, 4-25km",No,75%,No
UPES School of Engineering,Dehradun,350000,"CSE, AI, Energy Engg.","Hostel available, affordable, 4 years",Veg & Non-veg meals,"Bus covers city, 3-18km",Yes,85%,Yes
MIT WPU,Pune,260000,"CSE, AI, DS","Hostel available, moderate cost, 4 years",Veg & Non-veg food,"Bus covers city routes, 4-20km",No,75%,No
Sharda University,Greater Noida,220000,"CSE, AI, ECE","Hostel available, affordable, 4 years",Veg & Non-veg meals,"Bus service city-campus, 4-20km",Yes,60%,No
Sathyabama Institute of Science and Technology,Chennai,200000,"CSE, ECE, IT, ME, CE","Hostel available, affordable, 4 years",Veg & Non-veg meals,"Bus covers Chennai, 3-18km",No,80%,No
Vel Tech Rangarajan Dr. Sagunthala R&D Institute,Chennai,180000,"CSE, ECE, ME, CE","Hostel available, low cost, 4 years",Veg & Non-veg food,"Bus available nearby, 3-15km",Yes,75%,No
Rajalakshmi Engineering College (REC),Chennai,170000,"CSE, IT, ECE, ME","Hostel available, affordable, 4 years",Veg & Non-veg meals,"Bus covers city routes, 3-20km",No,70%,No
SRM Institute of Science and Technology (Ramapuram),Chennai,230000,"CSE, IT, ECE","Hostel available, moderate cost, 4 years",Veg & Non-veg food,"Bus covers Chennai, 4-20km",Yes,90%,No
Hindustan Institute of Technology and Science,Chennai,220000,"CSE, AI, Aero, ECE","Hostel available, affordable, 4 years",Veg & Non-veg meals,"Bus available city-wide, 3-20km",Yes,85%,No
KCG College of Technology,Chennai,160000,"CSE, ECE, ME, CE","Hostel available, low cost, 4 years",Veg & Non-veg food,"Bus covers city, 3-18km",Yes,85%,Yes
,,,,,,,Yes,90%,No
